Name,Price,Image URL,Number of Colors,Product Link,category
CHEMISE,48.93 TND,https://images.zen.com.tn/uploads/8_U2_A8240_423d06734d.jpg,1 Couleurs,/fr/produit/4186-chemise,homme
CHEMISE,62.93 TND  89.90 TND,https://images.zen.com.tn/uploads/8_U2_A8889_617f0d3f75.jpg,3 Couleurs,/fr/produit/4537-chemise,homme
BASKET,76.93 TND  109.90 TND,https://images.zen.com.tn/medias/folder_04_10_2024/8_U2_A4356_d8dd3611c6.webp,2 Couleurs,/fr/produit/3881-basket,homme
JEAN BAGGY,55.93 TND,https://images.zen.com.tn/uploads/8_U2_A8148_c11c7d40bd.jpg,1 Couleurs,/fr/produit/4513-jean-baggy,homme
PANTALON,46.13 TND  65.90 TND,https://images.zen.com.tn/uploads/8_U2_A3416_2daf4359a9.JPG,3 Couleurs,/fr/produit/4538-pantalon,homme
T SHIRT,45.90 TND,https://images.zen.com.tn/uploads/8_U2_A8362_749fc07e37.jpg,1 Couleurs,/fr/produit/4387-t-shirt,homme
SWEAT SHIRT,49.90 TND,https://images.zen.com.tn/uploads/8_U2_A9346_b6a9f6dbe8.jpg,1 Couleurs,/fr/produit/4442-sweat-shirt,homme
PANTALON,62.93 TND  89.90 TND,https://images.zen.com.tn/uploads/8_U2_A7756_f59312599a.JPG,2 Couleurs,/fr/produit/4427-pantalon,homme
PANTALON,62.93 TND  89.90 TND,https://images.zen.com.tn/uploads/8_U2_A0208_26a926518b.JPG,3 Couleurs,/fr/produit/4214-pantalon,homme
CHEMISE,48.93 TND,https://images.zen.com.tn/uploads/8_U2_A8361_46a41fb1cd.jpg,1 Couleurs,/fr/produit/4233-chemise,homme
T SHIRT,39.90 TND,https://images.zen.com.tn/uploads/8_U2_A0188_b16412f8cc.jpg,4 Couleurs,/fr/produit/4443-t-shirt,homme
PULL,20.93 TND  29.90 TND,https://images.zen.com.tn/uploads/8_U2_A1162_4490663f26.jpg,2 Couleurs,/fr/produit/4444-pull,homme
PULL,32.13 TND,https://images.zen.com.tn/uploads/8_U2_A0156_636c8e64d5.jpg,1 Couleurs,/fr/produit/4358-pull,homme
