Name,Price,Image URL,Number of Colors,Product Link,category
PANTALON,20.93 TND  29.90 TND,https://images.zen.com.tn/uploads/8_U2_A2616_e8484fbc5c.JPG,2 Couleurs,/fr/produit/4457-pantalon,enfant
JACKET,32.13 TND,https://images.zen.com.tn/uploads/8_U2_A1273_fbdff0c030.JPG,1 Couleurs,/fr/produit/4739-jacket,enfant
JACKET,32.13 TND  45.90 TND,https://images.zen.com.tn/uploads/8_U2_A9448_ac7b2de67f.JPG,2 Couleurs,/fr/produit/4202-jacket,enfant
BOLERO,32.13 TND  45.90 TND,https://images.zen.com.tn/uploads/8_U2_A3561_c449685322.JPG,3 Couleurs,/fr/produit/4541-bolero,enfant
BLOUSE,39.90 TND,https://images.zen.com.tn/uploads/8_U2_A5536_ae005ba133.JPG,1 Couleurs,/fr/produit/4323-blouse,enfant
JOGGER,34.93 TND  49.90 TND,https://images.zen.com.tn/uploads/8_U2_A3817_b03a755d46.JPG,3 Couleurs,/fr/produit/4566-jogger,enfant
GILET,27.93 TND,https://images.zen.com.tn/uploads/8_U2_A0481_3436eb34b5.JPG,1 Couleurs,/fr/produit/4217-gilet,enfant
CHEMISE,41.93 TND  59.90 TND,https://images.zen.com.tn/uploads/8_U2_A9289_b74de090f8.JPG,1 Couleurs,/fr/produit/4242-chemise,enfant
CHEMISE,59.90 TND,https://images.zen.com.tn/medias/folder_04_10_2024/8_U2_A5492_c2a6831187.webp,3 Couleurs,/fr/produit/3636-chemise,enfant
T SHIRT MANCHES LONGUES,20.93 TND,https://images.zen.com.tn/uploads/8_U2_A9378_e8cae19760.JPG,3 Couleurs,/fr/produit/4741-t-shirt-manches-longues,enfant
SUR CHEMISE,39.13 TND  55.90 TND,https://images.zen.com.tn/uploads/8_U2_A5946_f12b03351b.JPG,1 Couleurs,/fr/produit/4365-sur-chemise,enfant
POLO,27.93 TND  39.90 TND,https://images.zen.com.tn/uploads/8_U2_A4416_de0f07eed6.JPG,2 Couleurs,/fr/produit/4564-polo,enfant
POLO,32.13 TND,https://images.zen.com.tn/uploads/8_U2_A4339_687a006111.JPG,1 Couleurs,/fr/produit/4575-polo,enfant
T SHIRT MANCHE,32.13 TND  45.90 TND,https://images.zen.com.tn/uploads/8_U2_A3515_dfdc84c4d1.JPG,2 Couleurs,/fr/produit/4570-t-shirt-manche,enfant
LEGGING,39.13 TND,https://images.zen.com.tn/uploads/8_U2_A2523_daf685282c.JPG,2 Couleurs,/fr/produit/4522-legging,enfant
GILET,39.13 TND  55.90 TND,https://images.zen.com.tn/uploads/8_U2_A4680_f9417f3732.JPG,2 Couleurs,/fr/produit/4524-gilet,enfant
GILET,32.13 TND  45.90 TND,https://images.zen.com.tn/uploads/8_U2_A9608_ab8ab62899.JPG,3 Couleurs,/fr/produit/4734-gilet,enfant
BLOUSE,27.93 TND,https://images.zen.com.tn/uploads/8_U2_A9683_a5f2ae4cab.JPG,1 Couleurs,/fr/produit/4677-blouse,enfant
MOCASSIN,48.93 TND  69.90 TND,https://images.zen.com.tn/uploads/8_U2_A4489_e64677584e.JPG,1 Couleurs,/fr/produit/4440-mocassin,enfant
ENSEMBLE,69.93 TND  99.90 TND,https://images.zen.com.tn/uploads/8_U2_A2696_0ff978b0d8.JPG,1 Couleurs,/fr/produit/4488-ensemble,enfant
LEGGING,27.93 TND  39.90 TND,https://images.zen.com.tn/uploads/8_U2_A6205_5764a318bb.JPG,1 Couleurs,/fr/produit/4349-legging,enfant
ENSEMBLE,55.93 TND,https://images.zen.com.tn/uploads/8_U2_A4213_5d23667697.JPG,2 Couleurs,/fr/produit/4554-ensemble,enfant
DEBARDEUR,32.13 TND  45.90 TND,https://images.zen.com.tn/uploads/8_U2_A2440_89297c77c1.JPG,2 Couleurs,/fr/produit/4465-debardeur,enfant
T SHIRT MANCHE,27.93 TND,https://images.zen.com.tn/uploads/8_U2_A9545_068bf071eb.JPG,2 Couleurs,/fr/produit/4701-t-shirt-manche,enfant
